fund_name
华夏成长
中海可转债债券A
中海可转债债券C
嘉实增强信用定期债券
嘉实中证500ETF联接A
易方达天天理财货币A
易方达天天理财货币B
华夏大盘精选
易方达天天理财货币R
华夏聚利债券
华夏纯债债券A
华夏纯债债券C
财通可持续混合
景顺长城品质投资混合
华夏优势增长混合
大摩双利增强债券A
大摩双利增强债券C
华富保本混合
富国宏观策略
长城久利保本混合
华夏复兴混合
易方达信用债债券A
易方达信用债债券C
广发理财7天债券A
广发理财7天债券B
农银高增长混合
华夏全球精选
中证财通可持续发展100指数A
嘉实美国成长股票
嘉实美国成长股票现汇
工银产业债A
工银产业债B
华夏双债增强债券A
华夏双债增强债券C
中银标普全球资源等权重指数
华夏沪深300ETF联接A
鹏华实业债纯债债券
鹏华双债增利债券
广发纳斯达克100美元现汇
建信消费升级混合
中银消费主题混合
国联安保本混合
国联安中证医药100A
华夏盛世混合
银华量化智慧动力混合
长盛电子信息主题灵活配置混合
大摩18个月定期开放债券
国富焦点驱动混合
诺安鸿鑫保本混合
民生加银转债优选A
民生加银转债优选C
国投瑞银中高等级债券A
国投瑞银中高等级债券C
华夏恒生ETF联接A
华安保本混合
上投成长动力
工银信用纯债一年定开债券A
华夏恒生ETF联接现汇
华夏恒生ETF联接现钞
工银信用纯债一年定开债券C
工银信用纯债两年定开债A
工银信用纯债两年定开债C
天治可转债增强债券A
天治可转债增强债券C
嘉实研究阿尔法股票
汇添富消费行业混合
博时安盈债券A
博时安盈债券C
南方稳利1年定开债A
嘉实中证金边国债ETF联接A
嘉实中证金边国债ETF联接C
民生加银家盈理财月度A
民生加银家盈理财月度B
信诚新双盈分级债券
信诚新双盈分级债券A
信诚新双盈分级债券B
国泰中国企业境外高收益债券
华宸未来稳健添利债券A
建信安心回报债券A
建信安心回报债券C
富国稳健增强债券A/B
富国稳健增强债券C
金鹰元安混合A
易方达纯债1年定开债A
易方达纯债1年定开债C
嘉实如意宝定期债券A
嘉实如意宝定期债券C
嘉实丰益纯债定期债券
广发轮动配置混合
广发聚鑫债券A
广发聚鑫债券C
中银美丽中国混合
华夏永福混合A
汇添富实业债债券A
汇添富实业债债券C
华宝服务优选混合
上投摩根天颐年丰混合A
招商安润保本混合
农银行业领先混合
大成景安短融债券A
大成景安短融债券B
大成景兴信用债债券A
大成景兴信用债债券C
信诚理财28日盈A
信诚理财28日盈B
民生加银策略精选混合
民生加银岁岁增利债券A
民生加银岁岁增利债券C
富国国有企业债债券A
富国国有企业债C级
融通通泰保本混合A
鹏华双债加利债券
易方达高等级信用债债券A
易方达高等级信用债债券C
华安双债添利债券A
华安双债添利债券C
大成景旭纯债A
大成景旭纯债C
国投瑞银策略精选混合
中海策略精选灵活配置混合
广发聚优灵活配置混合A
易方达裕丰回报债券
华泰柏瑞量化增强混合A
汇添富美丽30混合
汇添富高息债债券A
汇添富高息债债券C
嘉实沪深300指数研究增强
嘉实丰益信用定期债券A
广发美国房地产指数
广发美国房地产指数现汇
景顺长城四季金利债券A
景顺长城四季金利债券C
嘉实丰益策略定期债券
工银添福债券A
工银添福债券B
华泰柏瑞季季红债券
华泰柏瑞丰盛纯债债券A
华泰柏瑞丰盛纯债债券C
易方达保本一号混合
中银新回报灵活配置混合
富国信用债债券A
富国信用债债券C
银华信用四季红债券
工银保本3号混合A
工银保本3号混合B
富国目标收益一年期纯债债券
天弘余额宝货币
国泰策略收益灵活配置混合
博时岁岁增利一年定开债券
诺安泰鑫一年定期开放债券A
富国目标收益两年期纯债债券
国富日日收益货币A
国富日日收益货币B
易方达投资级信用债债券A
易方达投资级信用债债券C
建信双债增强债券A
建信双债增强债券C
信诚新兴产业混合
光大现金宝货币A
光大现金宝货币B
泰信鑫益定期开放债券A
泰信鑫益定期开放债券C
广发成长优选混合
广发趋势优选灵活配置
华安黄金易ETF联接A
华安黄金易ETF联接C
国泰黄金ETF联接A
博时裕益灵活配置
富国医疗保健行业混合
汇添富年年利定开债A
汇添富年年利定开债C
长盛年年收益定期开放债券A
长盛年年收益定期开放债券C
华安年年红债券A
诺安稳固收益一年定开债券
工银月月薪定期支付债券A
国投瑞银一年定期开放债A
国投瑞银一年定期开放债C
华安年年盈定开债A
华安年年盈定开债C
宝盈核心优势混合C
景顺长城策略精选
天弘稳利定期开放A
天弘稳利定期开放B
博时月月薪定期支付债券
汇添富中证主要消费ETF联接
工银金融地产混合
景顺长城景兴信用纯债A
景顺长城景兴信用纯债C
长城增强收益定开债券A
长城增强收益定开债券C
上投摩根红利回报混合A
上投岁岁盈定开债券A
上投岁岁盈定开债券C
农银区间收益混合
工银信息产业混合
博时内需增长混合
易方达恒久添利1年定开债A
易方达恒久添利1年定开债C
广发集利一年定开债A
广发集利一年定开债C
嘉实合润双债两年期定期债券
建信安心保本混合
中邮定开债A
中邮定开债C
华润元大安鑫灵活配置混合
广发亚太中高收益债券
广发亚太中高收益债券现汇
博时双月薪定期支付债券
华商红利优选灵活配置
银华信用季季红债券
鹏华丰泰定期开放债券A
鹏华全球高收益债
鹏华普悦债券
华安生态优先混合
鹏华丰实定期开放债券A
鹏华丰实定期开放债券B
鹏华可转债债券
中海纯债债券A
中海纯债债券C
德邦德利货币A
德邦德利货币B
长盛双月红定期债券A
长盛双月红定期债券C
中银中高等级A
天弘弘利债券
易方达黄金ETF联接A
建信创新中国混合
大摩品质生活精选股票
安信永利信用A
景顺长城沪深300增强
华安沪深300增强A
华安沪深300增强C
招商瑞丰灵活配置混合发起式A
中海惠利纯债分级债券
中海惠利纯债分级债券A
中海惠利纯债分级债券B
泰达淘利债券A
泰达淘利债券C
农银14天理财A
农银14天理财B
华润元大现金收益货币A
华润元大现金收益货币B
南方顺达
南方新蓝筹混合
上投摩根转型动力灵活配置混合
鹏华丰饶定开债
汇添富现金宝货币
中加货币A
中加货币C
长城稳固收益债券A
长城稳固收益债券C
安信永利信用C
农银研究精选
鹏华双债保利债券
长城医疗保健混合
嘉实新兴市场C2QDII
嘉实新兴市场A1QDII
华夏财富宝货币A
鹏华丰融定期开放债券
建信安心回报两年定开债A
建信安心回报两年定开债C
国富恒丰定期债券A
国富恒丰定期债券C
长盛城镇化主题混合
南方丰元信用增强债券A
南方丰元信用增强债券C
易方达易理财货币
信诚年年有余A
信诚年年有余B
国泰聚信价值优势灵活配置A
国泰聚信价值优势灵活配置C
汇添富添富通货币A
国泰安康定期支付混合A
汇添富沪深300安中指数
广发全球医疗保健QDII
广发全球医疗保健美元
民生加银现金宝货币A
中银惠利半年定期开放债券
华安中证细分医药ETF联接A
华安中证细分医药ETF联接C
上投摩根双债增利债券A
上投摩根双债增利债券C
平安大华日增利货币
景顺长城景益货币A
景顺长城景益货币B
景顺长城景颐双利债券A
景顺长城景颐双利债券C
泰达宏利瑞利债券A
泰达宏利瑞利债券B
广发天天红货币A
华商优势行业
融通通源短融债券A
汇添富安心中国债券A
汇添富安心中国债券C
汇添富全额宝货币
华富灵活配置混合
中融增鑫定期开放债券A
中融增鑫定期开放债券C
工银纯债债券A
工银纯债债券B
易方达新兴成长灵活配置
汇添富双利增强债券A
